PERIOD;BRAND OWNER;BRAND;PACKAGE;WEIGHT;FAT;FAT ID;SKU;IF FLAVOURED;ADDITIVES;TASTE;VOLUME SALES;VALUE SALES;PRICE PER UNIT;NUMERIC SELLING DISTRIBIUTION (AVG);WEIGHTED SELLING DISTRIBIUTION (AVG);Average Sales Per Shop Selling
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.1400/KG;2%;2;TEOS GRECHESKIY 2% F 140G CHERNIKA;FLAVOURED;FRUITS/BERRIES;BILBERRY;158,352;988,1618027;6,240286;67,841242;90,271792;143,4522
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;CUP;0.3500/KG;2%;2;SAVUSHKIN 2% F 350G LESNAYA YAGODA;FLAVOURED;FRUITS/BERRIES;FOREST BERRIES;150,5756;535,8676604;3,558795;53,530917;80,492158;178,1555
MAT APR'19;SAVUSHKIN PRODUCT;LASKOVOE LETO;CUP;0.3500/KG;2%;2;LASKOVOE LETO 2% F 350G MALINA;FLAVOURED;FRUITS/BERRIES;RASPBERRY / MALINA;149,6186;438,3477572;2,929768;53,537075;76,785475;173,9446
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.1400/KG;2%;2;TEOS GRECHESKIY 2% F 140G KLUBNIKA;FLAVOURED;FRUITS/BERRIES;STRAWBERRY;144,6378;901,2080129;6,230792;57,003875;84,904742;156,277
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.0950/KG;0,10%;1;NEZHNY LYOGKIY 0.1% 95G H SOK KLUBNIKI;FLAVOURED;JUICE;STRAWBERRY;135,1358;522,0793827;3,863368;72,728917;81,374758;113,0692
MAT APR'19;SAVUSHKIN PRODUCT;OPTIMAL;CUP;0.3500/KG;2%;2;OPTIMAL 2% F BIO 350G PERSIK;FLAVOURED;FRUITS/BERRIES;PEACH;132,8118;498,3349094;3,752189;46,039058;63,366883;155,0715
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;GROUP;0.1200/KG;2%;2;SAVUSHKIN 2% 120G H STRACHATELLA;FLAVOURED;CHOCOLATE;STRACCIATELLA;128,2868;526,8159867;4,106549;69,732508;87,5636;113,4212
MAT APR'19;SAVUSHKIN PRODUCT;SUPERKID;GROUP;0.1200/KG;2%;2;SUPERKID 2% F 120G H KLUB-VANIL;FLAVOURED;FRUITS/BERRIES;STRAWBERRY & VANILLA;126,7532;593,6332571;4,683379;78,919367;92,53555;99,6443
MAT APR'19;FRIESLAND CAMPINA;NEZHNY;GROUP;0.0950/KG;0,10%;1;NEZHNY LYOGKIY 0.1% 95G H SOK PERSIKA;FLAVOURED;JUICE;PEACH;125,4009;481,8828841;3,842739;69,16865;79,73245;109,2605
MAT APR'19;DANONE GROUP;DANISSIMO;DUAL CUP;0.1050/KG;6,90%;7;DANIS.FANT.KHR.SHA.YAG.VK.6.9% C 105G DS;FLAVOURED;FRUITS/BERRIES;BERRIES;122,9821;1266,478157;10,298069;42,920933;77,444142;178,9873
MAT APR'19;DANONE GROUP;DANONE;BOTTLE;0.2500/KG;1,50%;2;DANONE TERMOSTATNY 1.5% 250G SF PN;PLAIN;WITHOUT ADDITION INGREDIENTS;NOT AVAILABLE;115,2886;722,3559684;6,265632;37,265775;70,336167;202,1779
MAT APR'19;DANONE GROUP;ACTIVIA;GROUP;0.1500/KG;3,50%;4;ACTIVIA NATURALNAYA 3.5% BIO J 150G SF H;PLAIN;WITHOUT ADDITION INGREDIENTS;NOT AVAILABLE;111,4018;606,5946179;5,445106;48,654617;82,232067;144,2514
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;GROUP;0.1200/KG;2%;2;SAVUSH.2SLOY.2% F BIO 120G H KIVI&KRYZ;FLAVOURED;FRUITS/BERRIES;KIWI & GOOSEBERRY;108,9232;533,7446274;4,900192;64,837542;87,228683;104,226
MAT APR'19;DANONE GROUP;DANISSIMO;DUAL CUP;0.1240/KG;6,90%;7;DANISSIMO FANT.SHOK.DUET 6.9% S 124G DS;FLAVOURED;CHOCOLATE;CHOCOLATE;108,2482;951,1575645;8,786821;55,963042;86,727317;119,6585
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;CUP;0.3500/KG;2%;2;SAVUSHKIN 2% F 350G NEKTARIN&APELSIN;FLAVOURED;FRUITS/BERRIES;NECTARINE&ORANGE;106,8243;376,4200723;3,523731;44,2198;65,877033;140,4025
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;GROUP;0.1200/KG;2%;2;SAVUSHKIN 2% F 120G H PERSIK-MANGO;FLAVOURED;FRUITS/BERRIES;MANGO & PEACH;106,0159;433,3656021;4,087742;65,874258;84,136417;99,2795
MAT APR'19;SAVUSHKIN PRODUCT;SAVUSHKIN;GROUP;0.1200/KG;2%;2;SAVUSH.2SLOY.2% F 120G H MANGO;FLAVOURED;FRUITS/BERRIES;MANGO;100,7696;493,2653866;4,894982;53,802958;78,871025;116,7298
MAT APR'19;FRIESLAND CAMPINA;FRUTTIS;GROUP;0.1150/KG;8%;8;FRUTTIS SUP.EXTRA 8% F 115G H MIX;FLAVOURED;FRUITS/BERRIES;UNABLE TO SEGMENT;100,6722;558,3625934;5,546343;50,970667;73,449175;118,5522
MAT APR'19;SAVUSHKIN PRODUCT;OPTIMAL;GROUP;0.1500/KG;2%;2;OPTIMAL 2% FZ BIO 150G H CHERNOS-ZLAKI;FLAVOURED;CEREALS & FRUITS;CEREALS&DRY PLUM;98,309;416,918951;4,240903;56,359318;78,312445;95,9469
MAT APR'19;SAVUSHKIN PRODUCT;SUPERKID;GROUP;0.1200/KG;2%;2;SUPERKID 2% F 120G H BANAN-YABLOKO;FLAVOURED;FRUITS/BERRIES;APPLE & BANANA;98,2117;458,6673898;4,670191;73,148117;89,784325;83,077
