Год_месяц;Клиент;Подкатегория;СЕГМЕНТ;Формат ТТ;Способ обработки;Наименование Товара в Сети;Производитель;Бренд;Тип упаковки;Масса;Наполнитель;Сквозное Имя;Продажи в кг;Продажи в руб;Offtake в кг
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ДРУЖБА плав прод 55% ван 100г(РЗПС):48;РЯЗАНСКИЙ ЗАВОД ПЛАВЛЕННЫХ СЫРОВ;ПЕРЕЯСЛАВЛЬ;СТАКАН;0.1;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ ПЕРЕЯСЛАВЛЬ 0,1 кг 55% СТАКАН дружба;0.3;41.18;0.3
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;-;-;ДРУЖБА плавл Сыр 55% 400г п/ван(Первая линия):8;ПЕРВАЯ ЛИНИЯ;ПЕРВАЯ ЛИНИЯ;СТАКАН;0.4;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ ПЕРВАЯ ЛИНИЯ 0,4 кг 55% СТАКАН дружба;134.8;45471.294;3.851428571
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Гипермаркет;-;ДРУЖБА плавл Сыр 55% 400г п/ван(Первая линия):8;ПЕРВАЯ ЛИНИЯ;ПЕРВАЯ ЛИНИЯ;СТАКАН;0.4;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ ПЕРВАЯ ЛИНИЯ 0,4 кг 55% СТАКАН дружба;5086.4;1819070.364;54.69247312
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;Дискаунтер;-;ДРУЖБА плавл Сыр 55% 400г п/ван(Первая линия):8;ПЕРВАЯ ЛИНИЯ;ПЕРВАЯ ЛИНИЯ;СТАКАН;0.4;дружба;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ ПЕРВАЯ ЛИНИЯ 0,4 кг 55% СТАКАН дружба;62734;20118614.98;26.83233533
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;-;-;ДРУЖБА Плавленный продукт 50% фол 100г (РЗПС):12;РЯЗАНСКИЙ ЗАВОД ПЛАВЛЕННЫХ СЫРОВ;ПЕРЕЯСЛАВЛЬ;ЛОМТЕВОЙ;0.1;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ ПЕРЕЯСЛАВЛЬ 0,1 кг 50% ЛОМТЕВОЙ дружба;1692.2;289919.487;12.91755725
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Гипермаркет;-;ДРУЖБА Плавленный продукт 50% фол 100г (РЗПС):12;РЯЗАНСКИЙ ЗАВОД ПЛАВЛЕННЫХ СЫРОВ;ПЕРЕЯСЛАВЛЬ;ЛОМТЕВОЙ;0.1;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ ПЕРЕЯСЛАВЛЬ 0,1 кг 50% ЛОМТЕВОЙ дружба;52398.1;8324196.517;145.5502778
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Дискаунтер;-;ДРУЖБА Плавленный продукт 50% фол 100г (РЗПС):12;РЯЗАНСКИЙ ЗАВОД ПЛАВЛЕННЫХ СЫРОВ;ПЕРЕЯСЛАВЛЬ;ЛОМТЕВОЙ;0.1;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ ПЕРЕЯСЛАВЛЬ 0,1 кг 50% ЛОМТЕВОЙ дружба;494910.3;81394940.28;69.5098736
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Гипермаркет;-;ДРУЖБА Плавленый продукт 50% фол 100г(РЗПС):24;РЯЗАНСКИЙ ЗАВОД ПЛАВЛЕННЫХ СЫРОВ;ПЕРЕЯСЛАВЛЬ;ЛОМТЕВОЙ;0.1;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ ПЕРЕЯСЛАВЛЬ 0,1 кг 50% ЛОМТЕВОЙ дружба;65801;9904239.345;177.8405405
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Дискаунтер;-;ДРУЖБА Плавленый продукт 50% фол 100г(РЗПС):24;РЯЗАНСКИЙ ЗАВОД ПЛАВЛЕННЫХ СЫРОВ;ПЕРЕЯСЛАВЛЬ;ЛОМТЕВОЙ;0.1;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ ПЕРЕЯСЛАВЛЬ 0,1 кг 50% ЛОМТЕВОЙ дружба;464711.1;74926820.56;74.21129032
MAT FEB 2020;Магнит;СЫР ПЛАВЛЕНЫЙ;ПАСТООБРАЗНЫЙ;-;-;ДРУЖБА Плавленый продукт пастообразн 50%250г пл/ван (РЗПС):6;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ;ПАСТООБРАЗНЫЙ;0.25;-;СЫР ПЛАВЛЕНЫЙ ПАСТООБРАЗНЫЙ РОСТОВСКИЙ ЗАВОД ПЛАВЛЕНЫХ СЫРОВ 0,25 кг 50% ПАСТООБРАЗНЫЙ;2097.25;675844.279;5.958096591
